,id_,institutions,type_formations,telephones,adresses
252,304,Korean-Haitian Professional School,Technique,"2230 1473, 4799 8282, 3853 4877","Caracol EKAM, Nord-Est"
253,392,Lady Marlene Institute and Beauty Culture,Technique,"32821766,36658025","2, Delmas 25, Port-au-Prince, Ouest"
254,123,Maison ménagère Anne Marie Desvarieux,Technique,"3680 4737,  3721 0954","118,Ave.Jean-Paul II, 
Turgeau, Port-au-Prince, Ouest"
255,302,Majesty Professional School,Technique,"4888 7652, 3364 2782","20, Rue Desdunes Mahotière 81, Carrefour, Ouest"
256,122,Mathilde V. Den Berghe,Technique,3748 7311,"2, Santo 25 Prolonge,Port-au-Prince, Ouest"
257,333,MDC Formation Ecole Professionnelle des Métiers du Secrétariat et des Techniques Bancaires,Technique,3705 8691,"11, Rue Biassous Delmas 31, Port-au-Prince, Ouest"
258,211,Ministère de l'Espoir Vivant  (EPMEV),Technique,"3732 0387, 3719 6124","Lambi 5, Rue Carl Girault, Mariani, Port-au-Prince Ouest"
259,261,Mission Bon Samaritain International School of Nursing,Technique,"3695 2042, 3853 3088","26, Rue O. Lucien, Tabarre 25, Port-au-Prince, Ouest"
260,212,Modern Center School,Technique,3728 2388,"# 2 ET # 6 Ruelle Paloma, Truitier carrefour, Ouest"
261,121,Modern Technology School,Technique,"4858 9015, 2226 3154, 2245 9086","5, Bois Patate, Port-au-Prince, Ouest"
262,284,Nouvelle Technologie Boschiose,Technique,3759 0866,"Delmas 16, Port-au-Prince, Ouest"
263,357,Organisation Pour le Développement de la Commune de Mirbalais,Technique,3656-4235 3689-1778,"#4, Grand rue, Mirebalais"
264,272,Paodes- Université,Universitaire & Technique,"2228 2733, 3476 9461,47 23 38 09","26, Angle rue 5& rue de la Montagne, Pacot, Port-au-Prince, Ouest"
265,306,Référence Ecole Professionnelle,Technique,4747 2381,"43, Waney 93, Carrefour, Ouest"
266,233,Séminaire de Théologie Evangélique de Port-au-Prince,Universitaire,2223 0271,"261, Route des Dalles, Bolosse, Port-au-Prince, Ouest"
267,117,Sen Jan Bosco,Technique,3723 5523,"Cité Soleil, Port-au-Prince,Ouest"
268,241,SICA Nursing School,Technique,"3446 1028, 3692 5346","25, Rue Stella, Delmas 39, Port-au-Prince, Ouest"
269,116,SkyNet Center,Technique,"3800 3431,  4410 5050","97,Ave. Christophe, 
Port-au-Prince, Ouest"
270,358,Société d'Enseignement technico-Professionnel,Technique,3756-2299,"267,Rue Dumarsais Estimé, Port-de-Paix, Nord Ouest"
271,114,St Pierre Claver,Technique,"4641 0061, 2274 0732, 2274 0663","129, Rue Louverture, Pétion-Ville, Port-au-Prince, Ouest"
272,113,St Surin Manigat (Public),Technique,"2221 3091, 3489 5297","Martissant 7, Carrefour"
273,112,Tek-DEV,Technique,3411 6053,"#8,Rue Stephen Musseau, Ouest"
274,111,The International School (Garage),Technique,-,"Ave Jean Paul II # , Turgeau, Port-au-Prince"
275,283,TRANSVERSAL (Continue),Technique,3871 1662,"9, Avenue Lamartinière Bois Verna, Port-au-Prince, Ouest"
276,332,UNEP,Technique,3750 4041,"Port-au-Prince, Ouest"
277,214,Union Service Info Ecole Professionnelle,Technique,3622 1491  / 4444 1787,Grande Rivière du Nord
278,291,UNISCHOOL,Technique,3461 6532,"#28, 2ème Rlle Jérémie, Port-au-Prince, Ouest"
279,330,Unitech-Info,Technique,,"105, Avenue des Dates, Gonaïves, Artibonite"
280,318,Unity School of Business,Technique,"3444 5052, 3711 1887","#12, Impasse St Juste Christ-Roi, Port-au-Prince, Ouest"
281,59,Université Adventiste d’Haïti,Universitaire,"2813 1111, 2813 1616","63, Route de la Mairie de Carrefour, Diquini, Ouest."
282,2,Université Américaine des Sciences Modernes d'Haiti,Universitaire,"3358 0841, 3197 4762, 3811 1749, 3664 0716","16 Bis, Avenue Christophe, Rue 4 et Delmas 65 rue Marcelin #4"
283,399,Université Anténor Firmin,Universitaire,(509) 3464-9408,"Entrée Kiteyo, Cité Chauvel, Cap-Haïtien, Haïti"
284,54,Université Autonome de Port-au-Prince,Universitaire,"2228-1881 ,2228 1882, 3484 3115","5, Campus de Santo 25, Croix-des-Bouquets, Port-au-Prince 148, Rhode, Hinche, Centre"
285,43,Université Caraïbes,Universitaire,3209-1653 / 2816-1027/ 4629-9068,"7, Delmas 29, Port-au-Prince; Montrouis; La Gonâve"
286,51,Université Chrétienne du Nord d’Haïti,Universitaire,3777 1327,"Limbé, Nord"
287,398,Université de Fondwa,Universitaire,509 4090 9090/ 509 2813 1926,"31 rue Chériez, Canapé-vert, Port-au-Prince, Haïti 
Jacmel"
288,277,Université de la Renaissance d’Haïti,Universitaire,"3630 1535,  3346 7556","Avenue Jean Paul II, Turgeau, Port-au-Prince, Ouest"
289,3,Université de Port-au-Prince,Universitaire,"2813 0591, 2813 0589","19, Rue Rivière, Canapé-Vert, Port-au-Prince"
290,68,Université Episcopale d’Haïti,Universitaire,3407 2742 / 2227 7962 / 2227 7963,"14, Rue Légitime (Champ de Mars) à côté du corps des Sapeurs-pompiers , Port-au-Prince, Léogane, Ouest; Cayes, Sud"
291,325,Université et Ecole de Commerce André E. Laroche,Universitaire & Technique,2817 8989 / 3473 0300/  3173 7528,"130, Rue des Miracles et 106 Turgeau, Port-au-Prince, Ouest"
292,373,Université Franco-Haïtienne du Cap-Haïtien,Universitaire,22 60 46 71 /  28 17 19 63 /  46 03 03 68,"391, Carrefour La Chaux, Petite Anse, Cap Haïtien, Nord"
293,52,Université GOC,Universitaire,"2912 0101,  3401 3066","1, Impasse Alouette (Ave ML King), Port-au-Prince, Ouest"
294,342,Université Inuka,Universitaire,"2941 0106, 2941 8289, 2941 0106","Tabarre 43, Blvd 15 Octobre, Port-au-Prince, Ouest"
